OBJECTID,STATIONID,SEGKEY,SEG_UNITDESC,DETECTORNAME,ROADWAY,x,y
152867,931,0,Sand Point Way & 38th Ave NE,Sand Point Way & 38th Ave NE,Sand Point Way,1282166.95750755,244631.939597145
152868,4308,0,15th Ave NW & NW 85th St,15th Ave NW & NW 85th St,15th/Elliott,1260306.06906077,255724.809881836
152869,4309,0,15th Ave NW & NW 65th St,15th Ave NW & NW 65th St,15th/Elliott,1260303.68430504,250381.112399951
152870,5422,0,Aurora Ave N & N 145th St,Aurora Ave N & N 145th St,Aurora Ave N,1268425.84653838,271441.129334956
152871,5391,0,Aurora Ave N & N 105th St,Aurora Ave N & N 105th St,Aurora Ave N,1268316.70428619,260834.827138811
152872,5395,0,Aurora Ave N & N 77th St ,Aurora Ave N & N 77th St ,Aurora Ave N,1268221.18569443,253436.536079124
152873,7490,0,Aurora Ave N & N 130th St,Aurora Ave N & N 130th St,Aurora Ave N,1268377.21064484,267459.199552774
152874,7990,0,Aurora Ave N & N 135th St ,Aurora Ave N & N 135th St ,Aurora Ave N,1268393.46594369,268789.809178293
152875,7492,0,Aurora Ave N  & N Winona Ave N,Aurora Ave N  & N Winona Ave N,Aurora Ave N,1268208.76363921,252708.810746521
152876,5278,0,15th Ave NW & NW 80th St,15th Ave NW & NW 80th St,15th/Elliott,1260282.02711411,254364.084256828
152877,4842,0,15th Ave NW & NW Market St,15th Ave NW & NW Market St,15th/Elliott,1260291.29956932,247719.727876931
152878,4293,0,4th Ave S & S Seattle Blvd S,4th Ave S & S Seattle Blvd S,4th Ave S,1271399.13701567,221166.181082562
152879,4294,0,4th Ave S & S I90 Touchdown,4th Ave S & S I90 Touchdown,4th Ave S,1271382.70619224,220364.568102449
152880,4295,0,4th Ave S & S Holgate St,4th Ave S & S Holgate St,4th Ave S,1271322.04850516,217404.090099543
152881,4296,0,4th Ave S & S Michigan St,4th Ave S & S Michigan St,4th Ave S,1270902.70510171,202514.899897665
152882,4297,0,4th Ave S & E Marginal Way S,4th Ave S & E Marginal Way S,4th Ave S,1270884.4152761,201987.507989854
152883,4758,0,4th Ave S & S Lucile St,4th Ave S & S Lucile St,4th Ave S,1270968.9734239,205455.060519949
152884,4843,0,4th Ave S & S Lander St,4th Ave S & S Lander St,4th Ave S,1271278.37815286,215084.352284953
152885,6008,0,1st Ave S & S Royal Brougham Way S,1st Ave S & S Royal Brougham Way S,1st Ave S,1270100.03323266,219699.196647763
152886,4310,0,1st Ave S & S Holgate St,1st Ave S & S Holgate St,1st Ave S,1270054.45179495,217404.566230476
152887,4311,0,1st Ave S & S Lander St,1st Ave S & S Lander St,1st Ave S,1270008.95647912,215109.685649648
152888,4312,0,1st Ave S & S Hanford St,1st Ave S & S Hanford St,1st Ave S,1269978.28109755,213565.00451985
152889,4314,0,1st Ave S & S Hudson St,1st Ave S & S Hudson St,1st Ave S,1269846.43834943,206941.042210057
152890,4316,0,Airport Way & S Holgate St,Airport Way & S Holgate St,Airport Way,1273213.85738558,217341.822753593
152891,4844,0,Airport Way & S Spokane St,Airport Way & S Spokane St,Airport Way,1272776.44356224,212070.74528724
152892,5388,0,E Marginal Way & 1st Ave S Bridge,E Marginal Way & 1st Ave S Bridge,E Marginal Way,1269790.82904463,203510.128386199
152893,5387,0,E Marginal Way & S Idaho St,E Marginal Way & S Idaho St,E Marginal Way,1268607.01866619,209550.971373394
152894,5386,0,E Marginal Way & S Lucile St,E Marginal Way & S Lucile St,E Marginal Way,1269123.87991922,205505.892931417
152895,5385,0,E Marginal Way & Michigan St,E Marginal Way & Michigan St,E Marginal Way,1270475.28961797,202357.044652358
152896,3422,0,E Marginal Way & 1st Ave S,E Marginal Way & 1st Ave S,E Marginal Way,1269757.8537989,203607.797974333
152897,2477,0,Mercer St & 5th Ave N,Mercer St & 5th Ave N,Mercer St,1267030.83661516,231494.529848397
152898,2475,0,Mercer St & Dexter Ave N,Mercer St & Dexter Ave N,Mercer St,1268318.1023313,231464.953956097
152899,2244,0,Mercer St & 3rd Ave W,Mercer St & 3rd Ave W,Mercer St,1263811.83509713,231571.688486725
152900,2243,0,Mercer St & 3rd Ave N,Mercer St & 3rd Ave N,Mercer St,1266065.30499963,231516.650867149
152901,5384,0,Aurora Ave N & N 85th St,Aurora Ave N & N 85th St,Aurora Ave N,1268255.32358547,255550.050552875
152902,6006,0,Denny Way & 1st Ave N,Denny Way & 1st Ave N,Denny Way,1265044.49667379,229359.511152565
152903,6009,0,Denny Way & Dexter Ave N,Denny Way & Dexter Ave N,Denny Way,1268272.99784474,229276.638122767
152904,6007,0,Denny Way & Stewart St/Yale Ave N,Denny Way & Stewart St/Yale Ave N,Denny Way,1271141.68387245,229199.634913906
152905,5060,0,SR 99 & S Lander St Count Station,SR 99 & S Lander St Count Station,SR 99,1268792.66339006,215132.874579638
152906,394,22804,SW SPOKANE BR BETWEEN SW SPOKANE E ST AND SW SPOKANE W ST,Lower Spokane Bridge Count Dataion,S Spokane St,1265539.52726182,212123.419886619
152907,4809,1,NE Northgate Way & Greenwood Ave N,NE Northgate Way & Greenwood Ave N,NE Northgate Way,1265668.48943828,260898.82184349
152908,2240,1,NE Northgate Way & Fremont Ave N,NE Northgate Way & Fremont Ave N,NE Northgate Way,1266992.59686224,260866.824286103
152909,4822,1,NE Northgate Way & Meridian Ave N,NE Northgate Way & Meridian Ave N,NE Northgate Way,1270976.68666308,262100.500870585
152910,4818,1,NE Northgate Way & 1st Ave NE,NE Northgate Way & 1st Ave NE,NE Northgate Way,1272295.52793942,262062.295156315
152911,7143,1,NE Northgate Way & 5th Ave NE,NE Northgate Way & 5th Ave NE,NE Northgate Way,1273614.37946838,262024.093543082
152912,4820,1,NE Northgate Way & Roosevelt Way NE,NE Northgate Way & Roosevelt Way NE,NE Northgate Way,1274949.10489932,261986.20319891
152913,4811,1,NE Northgate Way & 15th Ave NE,NE Northgate Way & 15th Ave NE,NE Northgate Way,1276283.49445495,261948.619612664
152914,9024,1,NE Northgate Way & 24th Ave NE,NE Northgate Way & 24th Ave NE,NE Northgate Way,1278418.47173026,262127.265088707
152915,4810,1,Lake City Way & NE 137th St ,Lake City Way & NE 137th St ,Lake City Way,1281387.60949276,269060.231045574
152916,9010,1,Lake City Way & NE 125th St,Lake City Way & NE 125th St,Lake City Way,1280591.2077063,265788.379403606
152917,9011,1,Lake City Way & NE 115th St,Lake City Way & NE 115th St,Lake City Way,1279487.86755735,263169.991021618
152918,9012,1,Lake City Way & 24th Ave NE,Lake City Way & 24th Ave NE,Lake CityWay,1278917.83342838,260444.661006406
152919,9013,1,Lake CIty Way & NE 95th St,Lake CIty Way & NE 95th St,Lake City Way,1277921.16670454,257918.80319725
152920,9014,1,Lake City Way & NE 85th St,Lake City Way & NE 85th St,Lake City Way,1277204.96775964,255285.256955162
152921,9015,1,Lake CIty Way & 15th Ave NE,Lake CIty Way & 15th Ave NE,Lake City Way,1276199.6609612,254284.363287657
152922,4814,1,NW Holman Rd & 6th Ave NW,NW Holman Rd & 6th Ave NW,15th/Elliott,1263684.77375349,259468.386712253
152923,4815,1,NW Holman Rd & 14th Ave NW,NW Holman Rd & 14th Ave NW,15th/Elliott,1260378.84204516,256648.259888604
152924,4819,1,15th Ave NW & NW Leary Way,15th Ave NW & NW Leary Way,15th/Elliott,1260228.62375963,245895.701833397
152925,9004,1,15th Ave W & W Emerson St,15th Ave W & W Emerson St,15th/Elliott,1260183.89943963,242368.396305993
152926,4817,1,15th Ave W & W Armour St,15th Ave W & W Armour St,15th/Elliott,1260125.81187536,239004.380724326
152927,9006,1,Elliott Ave W & W Galer St,Elliott Ave W & W Galer St,15th/Elliott,1260163.62347953,234436.858691409
152928,9007,1,Elliott Ave W & W Mercer Pl,Elliott Ave W & W Mercer Pl,15th/Elliott,1261920.7537415,232333.862159222
152929,22002,490904,I5 SB BETWEEN I5 SB EXIT 158 OFF RP AND S BOEING ACCESS RD OFF RP,Boeing Access-NB - single,I-5,1283113.25646797,187309.922925785
152930,21876,489829,OLIVE WY OFF RP BETWEEN I5 NB AND OLIVE WAY,Olive Way-NB - single,I-5,1271546.03468776,228136.758512765
152931,22326,493043,I90 EB TUNNEL BETWEEN RAINIER NB I90 EB ON RP AND I90 EB E,Rainier-EB - single,I-90,1278767.47242661,218731.049387872
152932,22009,11279,LAKEVIEW BLVD E BETWEEN E HIGHLAND DR AND BOYLSTON S AVE E,E Galer,I-5,1272894.17298557,234057.391766623
